channel_id,channel_name,message_id,date,text,views,forwards,reactions,has_media,reply_to
COIN22T,COIN 22,3326,2025-06-06 09:42:41+00:00,"❗️**Исповедь Трейдера который за неделю потерял $100 млн**

Я начал торговать на фьючерсах в марте — до этого вообще никогда ими не занимался, да и в целом серьезной торговли у меня не было. Раньше я просто игрался с мем-коинами. (До этого меня знали за то, что я нашёл Pepe, когда он стоил всего $600k, и тогда я заработал восьмизначную сумму.)

За месяц я превратил примерно $3 миллиона в $100 миллионов… а потом слил всё за неделю на HyperLiquid.

Я просто делал своё дело, но в какой-то момент это стало привлекать внимание — аккаунт быстро стал вирусным, набрал сотни тысяч подписчиков, ведь всё было прозрачно и отслеживалось на блокчейне. Ну, я и подхватил волну.

В общем, с этим внезапным вниманием всё быстро вышло из-под контроля. Торговля превратилась в чистой воды азарт — я пытался отыграться, вернуть то, что потерял, и не выглядеть идиотом в глазах людей: мол, сделал $100 миллионов и тут же всё слил. Я стал жадным. Перестал воспринимать цифры на экране всерьёз.

__Делайте выводы, учитесь на чужих ошибках __🤝

👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",4433,90,228,True,
COIN22T,COIN 22,3324,2025-06-06 08:26:11+00:00,"🤑**Умный трейдер за две недели заработал $5 млн на сделках по Ethereum **

Вчера он закрыл свою Long позицию по ETH и открыл Short как раз перед падением цены. Всего за две недели он заработал $5,18 млн на ETH.

🤝__Кидаю вам его __[**__профиль__**](https://hypurrscan.io/address/0xcB92C5988b1D4f145a7B481690051F03EaD23a13)__ на hypurrscan. Можете последить за его сделками, а как это делать рассказывали в __[**__этом__**](https://m.youtube.com/watch?v=BQUxEqu-kiE)__ видео.

__👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",5829,71,109,True,
COIN22T,COIN 22,3323,2025-06-06 05:10:01+00:00,"😮**Илон Маск Хочет Создать Свою Политическую Партию**

__Илон Маск __[__спросил__](https://x.com/elonmusk/status/1930685402631053403?s=46&t=mvzCn0tFmLq5YcAFc7tHiA)__ своих подписчиков: «пора ли создать новую политическую партию в Америке» на фоне его грязной публичной вражды с Трампом. Более 4 млн человек уже ответили, при этом 81% проголосовали за создание третьей, средней партии. Конечно же Маск намекает на создание именно своей партии, которую он возглавит.__

❗️Также Маск [написал,](https://x.com/elonmusk/status/1930722828481098043?s=46&t=mvzCn0tFmLq5YcAFc7tHiA) что Тарифы Трампа вызовут рецессию во второй половине этого года. Ходят слухи, что этот конфликт может дойти до импичмента Трампа.

⚡️На фоне всех этих скандалов акции компании Tesla упали более чем на 12% и сегодня падение может продолжиться.

🔽Тем временем BTC упал ниже $104 тыс, достиг локального минимума около $100,3 тыс, зафиксировав -5%. Это привело к [ликвидациям](https://www.coinglass.com/ru/LiquidationData) боле $950 млн.

😳Из-за падения BTC, после трехкратной ликвидации Джеймс Уинн капитулировал и закрыл все свои Long позиции BTC. В общей сложности он [потерял](https://x.com/lookonchain/status/1930677511358415077?s=46&t=mvzCn0tFmLq5YcAFc7tHiA) $20,48 млн. А как все красиво начиналось.

👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",7907,61,186,True,
COIN22T,COIN 22,3322,2025-06-05 20:57:58+00:00,"**Только что Илон Маск **[**выложил**](https://x.com/elonmusk/status/1930727302566174971?s=46&t=T0fOh0oQ4nqgITBjUkX-Cg)** это видео со смайликом ****🤨****

**👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10461,197,316,True,
COIN22T,COIN 22,3320,2025-06-05 20:47:16+00:00,"🔽**Скандал Вокруг Трампа Дампит Рынки **

Илон Маск заявил, что президент Трамп «есть в файлах Эпштейна. Вот настоящая причина, по которой они не были обнародованы».

🗣Рассказываю кто не знал Джеффри Эпштейн американский миллиардер, официально занимавшийся инвестициями, а неофициально секс трафиком. Его обвиняли в создании сети для незаконной эксплуатации несовершеннолетних девушек, которую он якобы организовал при помощи влиятельных друзей.

🤔__В 2019 году Эпштейна нашли мёртвым в тюремной камере. Официальная версия самоубийство. Неофициальная слишком много знал.

__👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10300,111,142,True,
COIN22T,COIN 22,3319,2025-06-05 19:03:37+00:00,"🔪**Трамп Против Илона Маска **

Сегодня Трамп [заявил,](https://x.com/watcherguru/status/1930659468536144062?s=46&t=mvzCn0tFmLq5YcAFc7tHiA) что он «очень разочарован» Илоном Маском.

🗣После чего Маск ответил: «Без меня Трамп проиграл бы выборы». Трамп рассказал, что попросил Илона Маска уйти, и тот «просто СХОДИЛ С УМА».

🤏Также Трамп заявил, что «самый простой способ сэкономить деньги… — прекратить государственные субсидии и контракты Илона».

🔥__Как говорится от любви до ненависти один шаг. Сначала они лучшие друзья, а теперь настоящие враги. Будем наблюдать за этой Санта-Барбарой.

__👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10388,123,288,True,
COIN22T,COIN 22,3318,2025-06-05 16:18:38+00:00,"📞**Итоги Телефонного Звонка Трампа Си Цзиньпину**

Трамп [заявил,](https://www.nbcnews.com/news/amp/live-blog/rcna210178) что сегодня он поговорил с президентом Китая Си Цзиньпином. 1,5 часа они обсуждали  торговлю. Трамп сказал, что два лидера пригласили друг друга посетить свои страны. 

🔥Напряженность между двумя странами обострилась после того, как каждая из сторон обвинила другую в нарушении торгового перемирия.

🗣Трамп сказал, что у него был «очень хороший» телефонный разговор с президентом Си, в ходе которого основное внимание было уделено торговле и сложностям, связанным с редкоземельными продуктами.

❗️__Но главная проблема переговоров Трампа, которые он всегда называет отличными, заключается в том, что они ни к чему не приводят. Интересно изменится ли что-то после этого звонка.

__👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10315,14,177,True,
COIN22T,COIN 22,3316,2025-06-05 15:02:53+00:00,"🫡**Трейдер James Wynn на грани ликвидации — уже минус $1,122,456.63**

В [своём](https://x.com/jameswynnreal?s=21&t=T0fOh0oQ4nqgITBjUkX-Cg) Twitter он рассказывает о вселенском зле и масштабных манипуляциях на рынке, попутно прося донаты. Рекомендую его подписчикам объяснить, что x40 это слишком большое плечо: он практически не оставляет запас для просадки рынка.

👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10077,61,181,True,
COIN22T,COIN 22,3314,2025-06-05 10:29:50+00:00,"🤑 **Киты Готовятся к Паданию Solana **

Кит ZkSjmB разморозил и продал 44 539 SOL (на сумму $6,8 млн) 2 часа назад, зафиксировав прибыль около $649 тыс.

🟢Месяц назад этот кит приобрёл 44 116 SOL (на сумму $6,15 млн) по цене $139,4 за монету и застейкал их, заработав 422 SOL (примерно $64,5 тыс)

__🤔____Кит похоже, начинает фиксировать прибыль и выходить из позиции по Solana, что может указывать на подготовку к возможному снижению цены. Вероятно, он рассчитывает перезайти позже по более выгодной цене.

__👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10324,69,202,True,
COIN22T,COIN 22,3313,2025-06-05 07:53:04+00:00,"🇺🇸**Минфин США выкупил $10 млрд своего долга — это крупнейший buyback в истории!**

Официально подтверждено: 3 июня 2025 года Министерство финансов США провело крупнейшую операцию по обратному выкупу гособлигаций на сумму $10 млрд.

❓Что это значит: 1) У США есть деньги, чтобы гасить долги раньше времени. 2) Это может говорить о стабильности экономики. 3) Когда правительство выкупает долг, оно меньше платит процентов в будущем. 4) Это может успокоить рынки — инвесторы видят, что с финансами всё под контролем.

🕯__Если рынки воспринимают это как позитивный сигнал (что у США всё хорошо с деньгами), то: Инвесторы могут возвращаться в доллар и американские облигации. Это может снизить интерес к альтернативам вроде BTC, особенно у крупных фондов.__

👉[COIN 22](https://t.me/+Vy3B55Ubc7UwZjBi)",10090,52,177,True,
